#columns (so you dont have to count them when you plot!
#1=MJD
#2-4=nH, upper limit, lower limit
#5-7=Inner disk temperature, upper limit, lower limit
#8-10=Disk Normalisation, upper limit, lower limit
#11-13=PL index, upper limit, lower limit
#14-16=PL Normalisation, upper limit, lower limit
#17-19=Absorbed 0.6-10 keV flux, upper limit, lower limit
#20-22=Unabsorbed 0.6-10 keV flux, upper limit, lower limit (log10)
#23-25=0.6-10 keV flux of the PL component , upper limit, lower limit (log10)
#26=chi2
#27=degrees of freedom
#MJD	nH	nH_UL	nH_LL	kT	kT_UL	kT_LL	N_d	N_dUL	N_dLL	Gamma	Gamma_ULL	Gamma_LL	N_Gamma	N_GUL	N_GLL	absflux(0.6-10keV)	absflux_UL	absflux_LL	unabsflux(0.6-10keV_log10)	unabsflux_UL	unabsflux_LL	PLflux(0.6-10keV_log10)	PLfl_UL	PLfl_LL	chi2	dof
53609.417442	0.415272	0.491106	0.334479	0.138607	0.150446	0.129555	218391	473816	83621.3	1.75325	1.79035	1.71569	0.254978	0.268931	0.241414	1.27151e-09	1.27654e-09	1.25277e-09	-8.78288	-8.75153	-8.81158	-8.83486	-8.8268	-8.84301	561.223	589
53620.5410546	0.196805	0.211805	0.181989	NaN	NaN	NaN	NaN	NaN	NaN	1.63889	1.66201	1.61595	0.180202	0.185146	0.175398	1.07028e-09	1.07685e-09	1.06421e-09	-8.93127	-8.92652	-8.93606	-8.93127	-8.92652	-8.93606	487.97	563
53624.4169675	0.192458	0.207785	0.177326	NaN	NaN	NaN	NaN	NaN	NaN	1.62967	1.65345	1.6061	0.148309	0.152481	0.144257	8.92431e-10	9.01656e-10	8.87477e-10	-9.01133	-9.00648	-9.01622	-9.01133	-9.00648	-9.01622	452	555
53632.9279111	0.204134	0.223485	0.185119	NaN	NaN	NaN	NaN	NaN	NaN	1.61442	1.64446	1.58469	0.12478	0.129195	0.120525	7.61917e-10	7.70467e-10	7.53465e-10	-9.0788	-9.07272	-9.08494	-9.0788	-9.07272	-9.08494	456.757	479
53638.2941824	0.532464	0.636466	0.421515	0.128151	0.140971	0.118325	244637	624422	77268.3	1.75755	1.80989	1.70436	0.131582	0.141798	0.121786	6.28049e-10	6.28926e-10	6.16332e-10	-9.06028	-9.01265	-9.10152	-9.12414	-9.11291	-9.13546	467.807	483
53639.4862379	0.247222	0.288935	0.207176	NaN	NaN	NaN	NaN	NaN	NaN	1.61804	1.67981	1.55762	0.109138	0.117234	0.101639	6.53313e-10	6.66783e-10	6.387e-10	-9.13876	-9.12633	-9.15147	-9.13876	-9.12633	-9.15147	215.715	230
53644.0400342	0.238718	0.247995	0.229489	NaN	NaN	NaN	NaN	NaN	NaN	1.61553	1.62887	1.60223	0.107031	0.108806	0.105287	6.44629e-10	6.46638e-10	6.42193e-10	-9.14598	-9.14326	-9.14872	-9.14598	-9.14326	-9.14872	837.343	725
53661.7899675	0.236884	0.255278	0.218791	NaN	NaN	NaN	NaN	NaN	NaN	1.62974	1.65696	1.60277	0.100449	0.103721	0.0972867	5.9462e-10	5.99923e-10	5.89408e-10	-9.18058	-9.17505	-9.18617	-9.18058	-9.17505	-9.18617	512.938	517
53665.341705	0.206632	0.228786	0.184941	NaN	NaN	NaN	NaN	NaN	NaN	1.58557	1.61898	1.55256	0.0941786	0.0979343	0.0905757	5.95817e-10	6.0305e-10	5.88987e-10	-9.18652	-9.17961	-9.19352	-9.18652	-9.17961	-9.19352	469.086	425
53950.6560138	0.265945	0.303044	0.230039	NaN	NaN	NaN	NaN	NaN	NaN	1.65164	1.705	1.59927	0.0833332	0.0886911	0.0783184	4.75047e-10	4.82553e-10	4.69586e-10	-9.27245	-9.26193	-9.28315	-9.27245	-9.26193	-9.28315	263.277	278
53959.0370986	0.265526	0.298836	0.233248	NaN	NaN	NaN	NaN	NaN	NaN	1.64508	1.69345	1.59755	0.0898145	0.0950196	0.0849135	5.16315e-10	5.24513e-10	5.07231e-10	-9.23672	-9.22697	-9.24664	-9.23672	-9.22697	-9.24664	275.361	302
53968.2619489	0.204155	0.242215	0.167444	NaN	NaN	NaN	NaN	NaN	NaN	1.57416	1.63024	1.51917	0.0861477	0.0920011	0.0806866	5.53449e-10	5.60677e-10	5.41005e-10	-9.21945	-9.20798	-9.23116	-9.21945	-9.20798	-9.23116	247.465	259
53973.4341031	0.167983	0.216432	0.121606	NaN	NaN	NaN	NaN	NaN	NaN	1.5604	1.63341	1.4892	0.096893	0.105457	0.0890544	6.417e-10	6.55314e-10	6.2526e-10	-9.16138	-9.14651	-9.17665	-9.16138	-9.14651	-9.17665	155.73	173
53979.6643533	0.228898	0.273702	0.185847	NaN	NaN	NaN	NaN	NaN	NaN	1.59973	1.6655	1.53535	0.090853	0.0980479	0.0842125	5.60164e-10	5.73401e-10	5.48546e-10	-9.20927	-9.1963	-9.22253	-9.20927	-9.1963	-9.22253	189.925	221
