#MJD 15GHz 15GHz_err 1.7GHz 1.7GHz_err 1.4GHz 1.4GHz_err 4.8Ghz 4.8GHz_err 8.4GHz 8.4GHz_err 4.9GHz 4.9GHz_err 8.5GHz 8.5GHz_err
56293.5678993 0.000434428735828 0.000178489121757 nan nan nan nan nan nan nan nan nan nan nan nan
56296.4904572 0.000405078035538 0.000125310154711 nan nan nan nan nan nan nan nan nan nan nan nan
56303.3598438 0.000198575935358 0.000201788835082 nan nan nan nan nan nan nan nan nan nan nan nan
56308.410596 0.000304028174095 0.000120938446632 nan nan nan nan nan nan nan nan nan nan nan nan
56329.374728 0.000160676015932 0.000183163222442 nan nan nan nan nan nan nan nan nan nan nan nan
56335.385353 0.000297808116702 0.000117648145424 nan nan nan nan nan nan nan nan nan nan nan nan
56343.3108738 0.000353575640972 0.000114699625553 nan nan nan nan nan nan nan nan nan nan nan nan
56349.3499017 0.000395416278189 0.000243800388329 nan nan nan nan nan nan nan nan nan nan nan nan
56351.2204687 0.000232988787669 0.000119260365613 nan nan nan nan nan nan nan nan nan nan nan nan
56356.256684 0.000193187050148 0.000110918488198 nan nan nan nan nan nan nan nan nan nan nan nan
56363.3372975 6.84545721106e-05 0.000118346466443 nan nan nan nan nan nan nan nan nan nan nan nan
56365.1358507 0.000321951535095 8.65230811101e-05 nan nan nan nan nan nan nan nan nan nan nan nan
56371.1776332 0.000121917067297 0.00018906995238 nan nan nan nan nan nan nan nan nan nan nan nan
56378.1654457 0.00015065445848 8.68734961831e-05 nan nan nan nan nan nan nan nan nan nan nan nan
56384.1352142 0.000297945303183 0.000114164989276 nan nan nan nan nan nan nan nan nan nan nan nan
56389.1014873 0.00016056599727 9.48763622386e-05 nan nan nan nan nan nan nan nan nan nan nan nan
56399.01739 0.000264161578585 0.000115906453054 nan nan nan nan nan nan nan nan nan nan nan nan
56404.045978 0.00032941056491 9.1851551091e-05 nan nan nan nan nan nan nan nan nan nan nan nan
56420.0348437 0.000137518419505 0.000100254845242 nan nan nan nan nan nan nan nan nan nan nan nan
56434.008397 0.000264191288263 0.000138803160559 nan nan nan nan nan nan nan nan nan nan nan nan
56440.9996702 0.000172441210221 0.000168704681558 nan nan nan nan nan nan nan nan nan nan nan nan
56445.0199132 0.000148365229832 0.000103943575073 nan nan nan nan nan nan nan nan nan nan nan nan
56447.9376215 0.000154676588941 9.78646283157e-05 nan nan nan nan nan nan nan nan nan nan nan nan
56450.9716725 0.000261705465261 8.20607311787e-05 nan nan nan nan nan nan nan nan nan nan nan nan
56453.9219272 0.000257290542776 9.93743327866e-05 nan nan nan nan nan nan nan nan nan nan nan nan
56460.0205035 0.000247920501933 0.000125513824929 nan nan nan nan nan nan nan nan nan nan nan nan
56461.9381772 -2.34502345178e-05 0.000123332882637 nan nan nan nan nan nan nan nan nan nan nan nan
56464.9549132 0.000161044815679 0.00011615821458 nan nan nan nan nan nan nan nan nan nan nan nan
56467.9086285 0.000375607998129 0.000118853655979 nan nan nan nan nan nan nan nan nan nan nan nan
56473.8922512 0.000331008358801 0.000166213245635 nan nan nan nan nan nan nan nan nan nan nan nan
56488.8443692 0.00033579151391 0.000126000076902 nan nan nan nan nan nan nan nan nan nan nan nan
