#MJD	nH	nH_UL	nH_LL	kT	kT_UL	kT_LL	N_d	N_dUL	N_dLL	Gamma	Gamma_ULL	Gamma_LL	N_Gamma	N_GUL	N_GLL	flux	flux_UL	flux_LL	chi2	dof
57151.435926	0.520668	0.615998	0.347199	0.332397	0.376465	0.303473	3986.07	8438.42	1560.64	4.56145	4.88759	3.95189	0.871903	1.20395	0.388482	8.57914e-10	8.57321e-10	7.77652e-10	164.798	167
57153.9053908	0.587674	0.636317	0.523097	0.352575	0.411185	0.310208	1585.3	4256.86	516.544	4.5587	4.71131	4.3702	1.24819	1.44516	0.998678	9.19961e-10	9.23829e-10	8.45449e-10	196.11	221
57155.4280604	0.203937	0.433415	0.148819	0.317429	0.334529	0.293888	6578.51	8514.6	5230.83	3.05385	4.20731	2.36536	0.103333	0.518329	0.0362551	6.60295e-10	6.57804e-10	6.27564e-10	217.102	190
57157.1516041	0.47866	0.555723	0.168189	0.317686	0.354712	0.29648	4177.66	8801.32	1542.63	4.20145	4.4381	2.37794	0.810508	1.0829	0.157816	8.68918e-10	8.6982e-10	8.22626e-10	246.9	224
57159.5561598	0.579897	0.634467	0.502901	0.323017	0.369128	0.292939	2851.72	6730.14	938.394	4.45603	4.6157	4.21613	1.10786	1.33237	0.818671	8.67559e-10	8.67092e-10	8.01051e-10	245.673	225
57161.4901969	1.02416	1.2562	0.798121	0.0837809	0.0974506	0.07466	5.08835e+08	3.85239e+09	4.02528e+07	4.88832	5.15713	4.65487	2.30783	2.9911	1.81986	9.6734e-10	9.85566e-10	9.52809e-10	136.978	144
57163.471893	0.56788	0.616956	0.507096	0.351498	0.391951	0.318889	1832.04	3769.87	857.831	4.70122	4.87639	4.50761	1.02337	1.18935	0.826517	7.99058e-10	7.98136e-10	7.50785e-10	223.812	215
57165.677412	0.581661	0.651218	0.495145	0.355709	0.40921	0.312225	1819.25	4572.89	720.376	4.84238	5.14167	4.55366	1.0411	1.26144	0.771703	7.86799e-10	7.89102e-10	7.19094e-10	180.161	171
57195.8856459	0.292845	0.336366	0.254091	0.244329	0.265141	0.222124	20460.6	35638.5	13060.4	2.67488	2.80847	2.53755	0.28534	0.341135	0.235746	8.75427e-10	8.75829e-10	8.52792e-10	359.462	330
57196.0092339	0.228035	0.257951	0.200726	0.286624	0.301358	0.270888	10084.4	13477.4	7832.69	2.39088	2.52502	2.2568	0.184559	0.22358	0.151624	8.97265e-10	8.9855e-10	8.84966e-10	468.079	382
57196.9523539	0.198758	0.256997	0.148795	0.291982	0.322517	0.255965	6950.12	12821.7	4466.95	2.54591	2.78286	2.29956	0.234961	0.327462	0.163417	8.9692e-10	8.96492e-10	8.57027e-10	287.202	257
57197.0065001	0.225278	0.257823	0.195456	0.266206	0.28376	0.247325	11401.9	16829.3	8241.45	2.59008	2.70099	2.47711	0.25176	0.293714	0.21429	8.84474e-10	8.85769e-10	8.6944e-10	458.181	421
57206.1099557	0.0866629	0.101154	0.0723397	NaN	NaN	NaN	NaN	NaN	NaN	2.27429	2.3081	2.24106	0.177491	0.183088	0.172093	5.89498e-10	5.94037e-10	5.85513e-10	512.509	399
57208.1753566	0.246539	0.320839	0.183967	0.207684	0.242843	0.179115	16764.7	51032.9	5997.39	2.07637	2.1623	1.9856	0.141882	0.159113	0.125052	6.02189e-10	6.04242e-10	5.73414e-10	393.042	378
57210.6998798	0.129074	0.240556	0.037522	0.201148	0.318578	0.156903	5908.01	46724.4	384.14	1.9102	1.99546	1.79536	0.100452	0.11267	0.0849139	4.90124e-10	4.92062e-10	4.58185e-10	302.911	335
57214.4283568	0.0687722	0.0894534	0.0484447	NaN	NaN	NaN	NaN	NaN	NaN	1.93142	1.97351	1.89005	0.0975127	0.10174	0.093473	4.45746e-10	4.49737e-10	4.40718e-10	330.648	324
57216.4269307	0.114103	0.24564	0.0582732	0.285905	0.432296	0.165797	498.818	12943.3	68.644	1.79818	1.91681	1.66787	0.0799283	0.094824	0.0653858	4.33287e-10	4.32558e-10	4.11121e-10	303.282	329
57221.0752219	0.0566776	0.0824268	0.0315021	NaN	NaN	NaN	NaN	NaN	NaN	1.9123	1.96564	1.86013	0.0892791	0.0941538	0.0846728	4.19312e-10	4.25771e-10	4.12796e-10	262.261	262
57223.0234352	0.297544	0.393722	0.201284	0.14955	0.172754	0.134151	84831.4	265888	21650	2.02023	2.08273	1.98568	0.109019	0.118924	0.0997539	4.49087e-10	4.50322e-10	4.17811e-10	318.563	371
57224.4066181	0.212354	0.317557	0.120079	0.197349	0.269986	0.161463	11793.2	62578.9	1595.24	2.03782	2.11985	1.93522	0.129506	0.144551	0.111766	5.41939e-10	5.58765e-10	5.11349e-10	394.876	391
57228.1923239	0.292819	0.351902	0.238616	0.192269	0.212544	0.174538	61864.7	131980	30054.2	2.29221	2.38035	2.1997	0.200251	0.224107	0.177143	7.63022e-10	7.63058e-10	7.29238e-10	293.683	330
57230.0035048	0.234143	0.280091	0.193708	0.266219	0.289475	0.242089	12153.8	20926.9	7719.82	2.15539	2.30534	2.0019	0.166437	0.205275	0.133213	8.67122e-10	8.70887e-10	8.37865e-10	344.77	307
57233.6570812	0.0531307	0.0681922	0.0382414	NaN	NaN	NaN	NaN	NaN	NaN	2.13909	2.17302	2.1057	0.145679	0.150449	0.141077	5.56555e-10	5.61583e-10	5.53032e-10	442.369	392
54664.2981953	0.349887	0.44254	0.246132	0.151929	0.179788	0.136905	62634	193774	9613.99	1.68166	1.72742	1.63641	0.199016	0.212428	0.185836	1.09847e-09	1.10173e-09	1.07786e-09	446.455	542
54669.5864661	0.174705	0.188838	0.160731	NaN	NaN	NaN	NaN	NaN	NaN	1.63682	1.65975	1.61408	0.184891	0.189786	0.18013	1.11043e-09	1.11863e-09	1.10381e-09	553.29	558
54674.5354685	0.148481	0.161698	0.135395	NaN	NaN	NaN	NaN	NaN	NaN	1.63523	1.65704	1.61359	0.210165	0.215446	0.205022	1.27817e-09	1.28704e-09	1.27042e-09	575.217	576
54679.1525563	0.361361	0.440346	0.276414	0.151945	0.171452	0.139325	96409.6	247173	26858.2	1.71618	1.75721	1.695	0.230896	0.244635	0.217507	1.22945e-09	1.23074e-09	1.20091e-09	548.061	557
54684.832165	0.33491	0.417835	0.243646	0.149626	0.169474	0.137258	100677	267879	24422.5	1.72272	1.76422	1.68038	0.251959	0.267256	0.237016	1.33742e-09	1.33958e-09	1.31667e-09	593.552	564
54688.9181141	0.281006	0.352741	0.202966	0.157022	0.182301	0.142734	50960.5	138532	10367.6	1.70895	1.74429	1.67282	0.240199	0.252594	0.227997	1.31267e-09	1.31321e-09	1.2908e-09	604.034	604
54693.0716585	0.160152	0.173876	0.146574	NaN	NaN	NaN	NaN	NaN	NaN	1.65105	1.67384	1.62844	0.207435	0.21284	0.202177	1.23162e-09	1.23992e-09	1.22213e-09	557.752	559
55313.5164816	0.599493	0.611297	0.587767	NaN	NaN	NaN	NaN	NaN	NaN	3.60136	3.62799	3.57499	3.14145	3.21489	3.07001	2.7482e-09	2.75879e-09	2.73748e-09	591.744	418
55315.126384	0.240048	0.262327	0.221932	0.454805	0.465019	0.444278	4531.93	4944.97	4163.34	2.04465	2.2604	1.83198	0.24343	0.349775	0.169265	2.82448e-09	2.83056e-09	2.78762e-09	502.904	430
55317.1346875	0.276746	0.305625	0.254378	0.458847	0.469366	0.448064	4345.08	4726.04	4004.89	2.21298	2.43663	1.98952	0.319818	0.46588	0.21838	2.82576e-09	2.82894e-09	2.78921e-09	503.419	440
55319.1958497	0.309314	0.370904	0.245443	0.459698	0.469141	0.450367	3052.53	3502.25	2465.38	2.85726	3.08117	2.55139	0.811234	1.16099	0.488177	2.71232e-09	2.71907e-09	2.68582e-09	379.118	439
55325.1614027	0.302998	0.368398	0.253821	0.405717	0.420456	0.390528	5466.4	6233.38	4604.86	2.72541	2.99972	2.45956	0.759819	1.1647	0.494981	2.70485e-09	2.70837e-09	2.67128e-09	429.542	394
55327.1594533	0.240497	0.267168	0.216224	0.376671	0.390924	0.361715	6867.62	8065.77	5919.41	2.27265	2.41719	2.12653	0.458895	0.574901	0.363636	2.48999e-09	2.49263e-09	2.46249e-09	398.171	437
55337.0824792	0.273579	0.304479	0.244424	0.423942	0.4323	0.415724	4017.36	4328.93	3716.66	2.73847	2.86394	2.60504	0.697066	0.854352	0.559731	2.54855e-09	2.55083e-09	2.53636e-09	571.526	584
55337.4641204	0.412167	0.453977	0.363228	0.429092	0.447618	0.414877	2479.34	3360.45	1669.14	3.22698	3.34702	3.07149	1.49092	1.78483	1.17367	2.5786e-09	2.58002e-09	2.5531e-09	477.596	458
55825.0300146	0.211742	0.241747	0.182561	NaN	NaN	NaN	NaN	NaN	NaN	1.56147	1.6066	1.51703	0.0764381	0.0805301	0.0725677	4.97791e-10	5.04827e-10	4.91487e-10	295.831	331
55854.9908191	0.1399	0.156284	0.123743	NaN	NaN	NaN	NaN	NaN	NaN	1.69033	1.71834	1.66261	0.152247	0.157063	0.147588	8.69998e-10	8.78701e-10	8.64652e-10	521.412	490
55856.8011964	0.13327	0.165609	0.101851	NaN	NaN	NaN	NaN	NaN	NaN	1.67843	1.73342	1.62456	0.165784	0.176095	0.156112	9.63632e-10	9.79006e-10	9.46999e-10	229.472	258
56037.3174145	0.653866	0.663705	0.643461	0.013576	0.0136456	0.0134875	1e+24	0	7.50122e+19	3.60655	3.62597	3.58748	3.69294	3.73155	3.62776	3.05003e-09	3.06074e-09	3.03982e-09	877.509	495
56039.2556484	0.593023	0.603051	0.582999	NaN	NaN	NaN	NaN	NaN	NaN	3.59912	3.62074	3.57755	3.21033	3.27393	3.14789	2.83073e-09	2.84135e-09	2.82192e-09	755.625	444
56041.7263988	0.371644	0.418974	0.315788	0.491823	0.507987	0.478807	2065.32	2564.2	1598.7	3.1371	3.27966	2.94598	1.20347	1.49834	0.884562	2.83154e-09	2.83749e-09	2.80154e-09	350.467	403
56043.4068895	0.390188	0.439095	0.332932	0.448643	0.462982	0.436981	2969.88	3732.03	2197.67	3.10054	3.24994	2.89907	1.36471	1.7178	0.990479	2.93785e-09	2.94365e-09	2.91346e-09	437.899	438
56045.6822322	0.357104	0.443413	0.274875	0.467379	0.48108	0.45431	3429.76	4072.18	2522.01	2.81772	3.12963	2.36501	0.870594	1.43297	0.407229	2.99257e-09	2.9942e-09	2.92279e-09	343.134	347
56047.6150539	0.263324	0.308595	0.226472	0.415192	0.428029	0.402012	5382.1	6033.17	4793.34	2.60022	2.81232	2.38662	0.67793	0.949932	0.478295	2.91904e-09	2.92231e-09	2.88176e-09	384.472	420
56049.9570026	0.262713	0.293627	0.23442	0.401101	0.418494	0.382849	4589.23	5465.9	3904.42	2.26133	2.41216	2.10611	0.5372	0.68098	0.418479	2.59163e-09	2.59664e-09	2.55473e-09	427.567	428
56050.7557688	0.293591	0.32775	0.262756	0.280154	0.307079	0.251957	13755.3	24156.3	8728.9	2.39829	2.47944	2.3127	0.717761	0.805292	0.633168	2.25423e-09	2.25588e-09	2.21246e-09	482.046	483
56053.4946855	0.254457	0.311466	0.205695	0.223392	0.255686	0.195884	31242.3	77015.8	13695.7	2.2893	2.3572	2.21522	0.551478	0.603692	0.49739	1.86895e-09	1.90851e-09	1.80718e-09	462.199	453
56055.2349101	0.136567	0.149256	0.123995	NaN	NaN	NaN	NaN	NaN	NaN	2.31247	2.34079	2.28455	0.52703	0.541197	0.5133	1.62534e-09	1.63596e-09	1.61634e-09	599.562	463
56189.4200356	0.52993	0.767415	0.269531	0.126933	0.158154	0.105222	267365	1.70288e+06	16870.6	1.71589	1.83291	1.59727	0.104416	0.123429	0.0871878	5.30803e-10	5.35956e-10	5.04918e-10	162.223	196
56700.119836	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
56703.7935377	0.470704	0.68228	0.284454	NaN	NaN	NaN	NaN	NaN	NaN	1.93398	2.20159	1.6893	0.0737247	0.099889	0.0549473	2.77032e-10	2.93033e-10	2.57865e-10	19.051	23
56706.5894423	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
