#MJD,Frequency,Value,Error
56547.7899248,15GHz,0.000642063455376,0.000454340974396
56554.6703877,15GHz,0.00033763289958,0.0001307658226
56559.6615915,15GHz,0.000401116372447,0.000151228583008
56566.6784895,15GHz,0.000355188893367,0.000141982823749
56574.68989,15GHz,3.93247167697e-05,0.000116530922874
56579.5952025,15GHz,0.000159482221824,0.000146756200088
56591.5942998,15GHz,0.000166889633993,0.000131417608636
56606.493779,15GHz,0.0002934363582,9.94908006676e-05
56625.4550637,15GHz,0.000254825307394,0.000110846873362
56637.4167535,15GHz,0.000233509345134,0.000186872644688
56645.4620892,15GHz,0.000327267526514,9.81239849129e-05
56651.4200868,15GHz,0.000271713817432,0.000115320919658
56665.3867072,15GHz,0.000187624544362,8.85563652287e-05
56672.3260475,15GHz,0.000341462963384,0.000113363941528
56678.2971933,15GHz,0.000322448549828,0.000111959319458
56688.2906655,15GHz,0.000283841532461,0.000151414639669
56692.3496933,15GHz,0.000347847256134,8.7334078222e-05
56704.4118113,15GHz,0.000291522724291,0.000143760506508
56705.206846,15GHz,0.000201423332921,0.000135952890053
56708.170272,15GHz,0.000183755696443,0.000107902757026
56710.18489,15GHz,0.000191750150169,0.000102596149982
56713.3685358,15GHz,0.000319794488046,0.000230093605608
56714.1691145,15GHz,0.000135251794425,9.72017124628e-05
56716.2633855,15GHz,0.000125565724747,0.000156391191362
56718.1595775,15GHz,0.000193798527896,0.000109750988682
56720.201221,15GHz,0.000228136435402,0.000119660583204
56723.2657465,15GHz,0.000316992464263,0.000114425508872
56725.2711863,15GHz,0.000252258246005,0.000101730993744
56728.145434,15GHz,0.000195275620456,0.000107811477358
56730.1288947,15GHz,0.00028490645121,0.000137138959516
56733.1858043,15GHz,0.000241038852153,8.32759642022e-05
56736.212934,15GHz,0.000273541803325,9.12292333039e-05
56739.2199827,15GHz,0.00023949310587,8.29833938918e-05
56740.1819272,15GHz,0.000185101585676,0.00010178404678
56742.1958623,15GHz,0.000219980023509,0.000111104710271
56745.1883623,15GHz,0.000396387629532,0.000108781176828
56746.1953298,15GHz,0.000388686330621,0.000118045553454
56748.0901332,15GHz,0.000254762957913,0.000186355527802
56751.129728,15GHz,0.000131245443574,0.000114499591941
56752.113154,15GHz,0.000225063259118,9.01248038162e-05
56755.1195082,15GHz,0.000344373448722,0.000118502305957
56757.0558623,15GHz,0.000278697099317,0.000120213949227
56760.0843808,15GHz,0.000229273148365,8.61451277864e-05
56763.0879687,15GHz,0.000230088923909,8.90564307928e-05
56765.0561863,15GHz,0.000292859042026,7.91861555807e-05
56768.1504918,15GHz,0.000387018686002,0.000157351448042
56771.1506077,15GHz,0.000327340055308,0.00014270578356
56773.0689757,15GHz,0.000296968776917,0.000112730318966
56776.0407002,15GHz,0.000283807639722,0.000103096289788
56781.0118113,15GHz,0.00025819602074,8.52558992741e-05
56784.0527835,15GHz,0.000500684136154,0.000110661994093
56786.0350868,15GHz,0.000408391794777,8.73576816914e-05
56790.0474827,15GHz,0.000452664615827,9.83768848694e-05
56792.0378762,15GHz,0.00047671698969,0.000102757713545
56800.0527373,15GHz,0.000316619353613,0.000109111470506
56806.9996817,15GHz,0.000444157938143,0.000140051546925
56830.9507697,15GHz,0.00045594318941,0.000136186995671
56837.910191,15GHz,0.000389703602162,0.00012303980573
56846.8509895,15GHz,0.000199994808617,0.000213801780015
56851.9225173,15GHz,0.000204397356251,0.000104604710208
56859.7815567,15GHz,0.000332866476758,0.000182645668027
56873.8451447,15GHz,0.000205642194207,0.000108904062161
56878.7469965,15GHz,0.000183372232437,0.000145350787888
56884.8109548,15GHz,0.000277909023838,0.00013558337064
56891.7946123,15GHz,0.000269631188271,9.34691231437e-05
56898.6549942,15GHz,7.47561302379e-05,0.000141581250015
56903.6815103,15GHz,0.000410450741019,0.000107632054806
56910.6305382,15GHz,0.000222158039095,0.000207062018925
56913.6008738,15GHz,0.000190018389103,0.000147303967635
56919.7029225,15GHz,0.000512517306223,0.000154176676085
56926.6076332,15GHz,0.000215346620218,0.000156995527535
56933.5954457,15GHz,0.000323611169155,0.000221497557763
56941.5888368,15GHz,0.000527195539443,0.00015202233305
56947.6458623,15GHz,0.000505980261323,0.000174969947793
56955.5035127,15GHz,0.00011081064092,0.000119603400503
56962.6083623,15GHz,0.00039221064924,0.000107924173799
56969.5179225,15GHz,0.00154682802846,0.000511061886904
56976.5701447,15GHz,0.000340675105221,0.000161308467798
56982.5087442,15GHz,0.000199691852942,0.00012528286652
56989.5353415,15GHz,0.000209688224654,9.59088760948e-05
57001.514346,15GHz,0.000491165765508,0.000132459819721
57011.4669618,15GHz,0.000391413323399,9.07185379688e-05
57017.4062558,15GHz,9.67683600565e-05,9.16174654746e-05
57022.4189178,15GHz,0.000438678106235,0.000119076526309
57029.3250058,15GHz,0.000136514388546,0.000133294050382
57040.2790452,15GHz,0.000389939870038,0.000138149299957
57046.286904,15GHz,5.85284554663e-05,9.81690436294e-05
57051.2718692,15GHz,-7.24448970737e-05,0.000122325708186
57070.3003183,15GHz,-5.27531709779e-06,8.67146586805e-05
57081.2183507,15GHz,-1.96291443501e-05,0.000138863779939
57085.2600637,15GHz,-3.62053529313e-05,9.12000675527e-05
57088.2158507,15GHz,1.32291683848e-05,9.31742951446e-05
57093.2271353,15GHz,-3.22397068303e-05,8.75797224078e-05
57100.0736632,15GHz,-4.76849679028e-05,0.00016293815167
57122.1036285,15GHz,0.000203713652054,0.000165463038779
57127.0428877,15GHz,1.17609966381e-05,0.000123390605469
57131.168397,15GHz,5.13305234749e-05,0.000104327316783
57138.0821123,15GHz,-0.000111368592988,0.000157878788274
57144.0553415,15GHz,3.64667312334e-05,0.000119967004155
57150.0625058,15GHz,2.38013109406e-05,0.000109974623052
57155.0460822,15GHz,7.67673607724e-05,0.000100678946898
57156.0080267,15GHz,-8.74727011336e-05,0.000100701455287
57172.0529918,15GHz,3.0413297268e-05,0.000122567907104
57179.008941,15GHz,-8.54965267394e-07,0.00014951596989
57185.9510475,15GHz,7.24109830015e-05,0.000213921422986
57207.804404,15GHz,6.81238991548e-05,0.000184899097998
57217.8200405,15GHz,0.000333889445426,0.000306623953389
57222.8784202,15GHz,0.000311239787174,0.000174455335119
